User,Location,Tweet,Date/Time,Likes
Emmanue80766419,"Aguascalientes, México",@soylaley57aztec @MonchePepe @DHMGlez @Chivas Hay esta Jesús El chapo sanchez quien fue campeón en el último título… https://t.co/gEDHof086s,2019-07-22 00:39:33,3518
renantrl,"boa vista, sc",Chapo,2019-07-22 00:39:25,9087
jkrlos9,"London, England",@yeidckol @ciudadanochihua Increíble que ustedes tengan esa predilección por gente tan sombrías. Les encantan los a… https://t.co/CrDkhPuQoo,2019-07-22 00:39:11,31513
CapitalMX_,Ciudad de México,#LoMásLeído México y Estados Unidos acuerdan recuperar bienes de El Chapo y combatir tráfico de armas https://t.co/xyDZnaKidl,2019-07-22 00:39:02,43071
RAZtudio,Earth,"No lo dejaron dormir una noche y ya esta reventando, mientras tanto su gobierno con poca coordinación con los demás… https://t.co/zf0uUoagMp",2019-07-22 00:38:54,1
chapo_dq10,,"@Rin_081224 全くです…。
全然期待できない😓😓
でもさっきの加藤さんの発言で、少しでも上層部に喝が入ってたらいいんだけど…😭😭🙏",2019-07-22 00:38:51,13489
TracyPublic,,"a good christian? yes, i hate the devil and the tranny hooker ghost of el chapo deserves to be hated especially for hurting me and Ryan",2019-07-22 00:38:50,1
martacor240,,"@gabicerru hdrmp corrupta kirchnerista, MAFIOSA Q LO ÚNICO Q SABEN HACER ES APRETAR , PABLO ESCOBAR Y EL CHAPO QUED… https://t.co/A0TdriBoXX",2019-07-22 00:38:33,29030
CarolMamaghee,,Oh no! El Chapo made his money from selling drugs to our citizens! That money should go to build the wall!!! Mexico… https://t.co/oUSoW0ABJt,2019-07-22 00:38:33,5826
BostonForTrump,"Boston, MA","El Chapo Is Going To Prison For The Rest Of His Life, He Complains The Sentence Is 'Unfair' https://t.co/KaTPGNT8Wk via @walidshoebat",2019-07-22 00:38:02,2592
GuardianAus,Australia,"Now El Chapo’s back in jail, hunt is on for the Mexican drug baron’s money https://t.co/bEcg8L26ON",2019-07-22 00:38:01,100
L__Chapo,"Detroit, MI",Damn this shit wanna make me cry... https://t.co/bzczXtHDp0,2019-07-22 00:37:32,33048
tenesaboramelba,,AAAA DKJRKEI3KRJ el viernes cumple 19 una amiga y hace cumpleañito onda ~joda kdjd y van como 30 personas CUESTIÓN… https://t.co/DF9qrb3dI2,2019-07-22 00:37:26,60549
PepeDFMtz,,"@salomonpadilla @ferbelaunzaran Bajo esa perspectiva, que nos regresen al Chapo y le den el encargo de la Guardia Nacional",2019-07-22 00:37:11,1105
msnlatino,"Bellevue, WA",El lugarteniente del Cartel de Sinaloa que fue fiel a El Chapo hasta el final https://t.co/MS9d8Xez72,2019-07-22 00:37:11,42
AleXisneross,,"""Es el modus operandi del #Chapo."" Un policía en @lacasadepapel",2019-07-22 00:36:27,3588
nsabug1,sweet home Alabama,El Chapo complained about New York jail. Let's see how Supermax works out. https://t.co/mM3sYg0igM,2019-07-22 00:36:20,8
Rin_081224,🌈レインボーホール,"@chapo_dq10 もう、告知でさえ自身の言葉と気持ちでしないような姿勢なら
会見意味あるのかね",2019-07-22 00:36:12,30584
SERGIOQUIROZA1,Córdoba Ver,"@langlepalacios @Mexicano100PC @ximenabb1019 @RanferiDe Y a esto también , pero le llora a la sentencia de su prove… https://t.co/HeF6wT89Eg",2019-07-22 00:36:07,259
bbcmundo,"Londres, Inglaterra.","Para ""El Chapo"" Guzmán la cadena perpetua era inevitable en función del veredicto de culpabilidad que recibió en fe… https://t.co/AGAn5eVFjh",2019-07-22 00:36:04,922
