,  NÚMERO DE INCENDIO,FUENTE,ZONA,PARAJE,MUNICIPIO,COORDENADAS GEOGRÁFICAS NORTE,COORDENADAS GEOGRÁFICAS OESTE,CAUSA,FECHA DE REGISTRO,ESTRATO AFECTADO FORESTAL HOJARASCA,ESTRATO AFECTADO FORESTAL PASTO,ESTRATO AFECTADO FORESTAL ARBUSTO,ESTRATO AFECTADO FORESTAL RENUEVO,ESTRATO AFECTADO NO FORESTAL CULTIVOS,ESTRATO AFECTADO NO FORESTAL PASTIZAL,ESTRATO AFECTADO NO FORESTAL OTROS,SUPERFICIE AFECTADA TOTAL,NÚMERO DE PARTICIPANTES
104,105,OPD BLP,ZP,MESAS DEL RANCHO,EL ARENAL,20°  42'  22.4'',103°  33 27.1'',DESCONOCIDA,24/04/2019,0.15,0.00,0.00,0.00,0.00,0.00,0.00,0.15,16
105,106,OPD BLP,ZP,CAMINO AL ARENERO,ZAPOPAN,20°  41'  59.5'',103°  29'  32.2'',DESCONOCIDA,25/04/2019,0.72,0.00,0.00,0.00,0.00,0.00,0.00,0.72,23
106,107,OPD BLP,ZI,CHORROS DE TALA,ZAPOPAN,20°  41'  16.8'',103°  41'  24.7'',PASEANTES,27/04/2019,0.00,0.00,0.00,0.00,0.00,0.29,0.00,0.29,9
107,108,OPD BLP,ZP,EL ROBLE,TALA,20°   42'  56.8'',103°  37'  56.2'',QUEMA AGRICOLA,28/04/2019,0.00,0.0539,0.00,0.00,0.00,0.00,0.00,0.0539,11
108,109,OPD BLP,ZI,LA CAPILLA,EL ARENAL,20°  37´ 4.5´´,103°  27´ 37.0´´,INTENCIONAL,30/04/2019,0.75,1.00,0.00,0.00,0.00,0.00,0.00,1.75,33
0,117,OPD BLP,ZP,Cerro del 18,Zapopan,N 20° 43´ 24.0´´,W 103° 30´ 26.9´´,Vandalismo,12/10/2018,0.07,0.2,0,0,0,0,0,0.27,21
1,118,OPD BLP,ZP,Cerro del 18,Zapopan,N 20° 42´ 59.6´´,W 103° 29´ 54.9´´,Vandalismo,12/10/2018,0.07,0.6,0,0,0,0,0,0.67,15
2,119,OPD BLP,ZI,LAS TORRES,Tala,N 20° 39´ 05.9´´,"""W 103° 41´ 31.4""""""",Desconocida,19/12/2018,2.6,0,0,0,0,0,0,2.6,5
3,120,OPD BLP,ZI,CHORRO DE TALA,Tala,"""N 20° 42´ 06.4""""""","""W 103° 41´ 17.3""""""",Quema de basura,22/12/2018,1.21,0,0,0,0,0,0,1.21,9
4,121,OPD BLP,ZI,LAS TORRES,Tala,"""N 20° 39´ 18.6""""""","""W 103° 41´ 20.0""""""",Desconocida,22/12/2018,6.99,0,0,0,0,0,0,6.99,5
5,122,OPD BLP,ZI,CALAVOZ,Zapopan,"""N 20° 43´ 16.9""""""",W 103° 33´ 41.92,Quema de basura,23/12/2018,0,0,0,0,0,0,0.01,0.01,6
6,123,OPD BLP,ZI,BARANCA DEL MUERTO,Zapopan,N 20° 44´ 10.42,"""W 103° 35´ 02.6""""""",Desconocida,24/12/2018,2.64,0,0,0,0,0,0,2.64,9
