,  NÚMERO DE INCENDIO,FUENTE,ZONA,PARAJE,MUNICIPIO,COORDENADAS GEOGRÁFICAS NORTE,COORDENADAS GEOGRÁFICAS OESTE,CAUSA,FECHA DE REGISTRO,ESTRATO AFECTADO FORESTAL HOJARASCA,ESTRATO AFECTADO FORESTAL PASTO,ESTRATO AFECTADO FORESTAL ARBUSTO,ESTRATO AFECTADO FORESTAL RENUEVO,ESTRATO AFECTADO NO FORESTAL CULTIVOS,ESTRATO AFECTADO NO FORESTAL PASTIZAL,ESTRATO AFECTADO NO FORESTAL OTROS,SUPERFICIE AFECTADA TOTAL,NÚMERO DE PARTICIPANTES
73,81,OPD BLP,ZI,VILLA FELICIDAD,TALA,"""N 20° 39´ 24.1""""""","""W 103° 40´ 54.9""""""",INTENCIONAL,07/04/2018,,,,,,6.46,,6.46,16
74,82,OPD BLP,ZP,SAN JOSE DE LA MONTANA ,ZAPOPAN,"""N 20° 37´ 36.4""""""","""W 103° 29´ 51.7""""""",INTENCIONAL,08/04/2018,2.74,,,,,,,2.74,61
75,83,OPD BLP,ZP,SAN JOSE DE LA MONTANA ,ZAPOPAN,"""N 20° 37´ 31.3""""""","""W 103° 29´ 53.1""""""",INTENCIONAL,08/04/2018,4.13,,,,,,,4.13,38
76,84,OPD BLP,ZI,CORRAL FALSO,TALA,"""N 20° 40´ 17.9""""""","""W 103° 40´ 51.8""""""",INTENCIONAL,08/04/2018,,,,,,1.72,,1.72,6
77,85,OPD BLP,ZI,EL OASIS,ZAPOPAN,"""N 20° 43´ 24.3""""""","""W 103° 36´ 05.4""""""",FOGATA,08/04/2018,15.8,,15,,,100,,131.8,194
78,86,OPD BLP,ZI,MEZA DEL ZACATE,ZAPOPAN,"""N 20° 43´ 19.7""""""","""W 103° 35´ 35.3""""""",INTENCIONAL,09/04/2018,0.3,0.3,,,,,,0.6,30
79,88,OPD BLP,ZI,BRISAS DE LA PRIMAVERA,ZAPOPAN,"""N 20° 39´ 01.0""""""","""W 103° 28´ 51.0""""""",QUEMA DE BASURA,14/04/2018,,,,,,,0.02,0.02,25
80,89,OPD BLP,ZI,LAS TORTUGAS,EL ARENAL,"""N 20° 43´ 31.4""""""","""W 103° 37´ 07.8""""""",INTENCIONAL,14/04/2018,,,,,,0.87,,0.87,14
81,90,OPD BLP,ZP,CERRO DEL COLLI,ZAPOPAN,"""N 20° 38´ 59.0""""""","""W 103° 27´ 53.0""""""",QUEMA DE BASURA,18/04/2018,,2.2,,,,,,2.2,32
82,91,OPD BLP,ZI,CORRAL FALSO,TALA,"""N 20° 40´ 20.2""""""","""W 103° 41´ 18.8""""""",INTENCIONAL,22/04/2018,,,,,,1.95,,1.95,6
83,92,OPD BLP,ZI,BUGAMBILIAS,ZAPOPAN,"""N 20° 37´ 04.8""""""","""W 103° 27´ 37.1""""""",QUEMA DE BASURA,25/04/2018,,,,,,,0,0,35
84,93,OPD BLP,ZI,RANCHO LA PEÑA ,TALA,"""N 20° 31´ 58.7""""""","""W 103° 33´ 25.2""""""",INTENCIONAL,26/04/2018,,,,,,2.67,,2.67,17
85,94,OPD BLP,ZI,LAS TORTUGAS,EL ARENAL,"""N 20° 43´ 31.0""""""","""W 103° 37´ 08.7""""""",DESCONOCIDA,29/04/2018,,,,,,0.35,,0.35,22
86,95,OPD BLP,ZP,LA SALA,ZAPOPAN,"""N 20° 36´ 42.9""""""","""W 103° 33´ 46.8""""""",QUEMA DE BASURA,30/04/2018,0.5,,,,,,,0.5,28
87,96,OPD BLP,ZI,LOS  NOVOA,TALA,"""N 20° 38´ 54.1""""""","""W 103° 40´ 48.1""""""",INTENCIONAL,30/04/2018,,,,,,6.54,,6.54,13
