,Equipo,Posicion,Juegos_Jugados,Diferencia_Goles,Puntos
0,Bayern Munich   ,1,34,63.0,88.0
1,Bor. Dortmund ,2,34,48.0,78.0
2,Bay. Leverkusen ,3,34,16.0,60.0
3,Bor. M'gladbach ,4,34,17.0,55.0
4,FC Schalke 04 ,5,34,2.0,52.0
5,1.FSV Mainz 05 ,6,34,4.0,50.0
6,Hertha BSC ,7,34,0.0,50.0
7,VfL Wolfsburg  ,8,34,-2.0,45.0
8,1. FC Köln ,9,34,-4.0,43.0
9,Hamburger SV ,10,34,-6.0,41.0
10,FC Ingolstadt   ,11,34,-9.0,40.0
11,FC Augsburg ,12,34,-10.0,38.0
12,Werder Bremen ,13,34,-15.0,38.0
13,SV Darmstadt 98   ,14,34,-15.0,38.0
14,TSG Hoffenheim ,15,34,-15.0,37.0
15,E. Frankfurt ,16,34,-18.0,36.0
16,VfB Stuttgart ,17,34,-25.0,33.0
17,Hannover 96 ,18,34,-31.0,25.0
