,geojson,ent_abr,id_dest,nombre
99,"{""type"":""Point"",""coordinates"":[-101.75336395,21.198610794]}",Gto.,110717,"Restaurante Kilómetro 15, León"
100,"{""type"":""Point"",""coordinates"":[-101.164793288,21.0996847330001]}",Gto.,109165,"Restaurante la Joya, Guanajuato"
101,"{""type"":""Point"",""coordinates"":[-101.16436168,21.0921270690001]}",Gto.,109167,"Restaurante Rancho de en Medio, Guanajuato"
102,"{""type"":""Point"",""coordinates"":[-99.282488338,18.297701698]}",Gro.,120702,"Restaurante Campestre, Huitzuco de los Figueroa"
103,"{""type"":""Point"",""coordinates"":[-99.428030308,18.556111451]}",Gro.,118224,"Restaurante El Guerrerense, Buenavista de Cuéllar"
104,"{""type"":""Point"",""coordinates"":[-99.438283666,18.523220741]}",Gro.,118222,"Restaurante Bar Azteca, Buenavista de Cuéllar"
105,"{""type"":""Point"",""coordinates"":[-100.29937312,18.3093237950001]}",Gro.,117449,"Restaurante Tercer Milenio, Arcelia"
106,"{""type"":""Point"",""coordinates"":[-99.476787553,17.334198208]}",Gro.,120066,"Restaurante Acapulco González, Chilpancingo de los Bravo"
107,"{""type"":""Point"",""coordinates"":[-100.703309117,18.3122381220001]}",Gro.,119285,"Restaurante Acapulquito, Coyuca de Catalán"
108,"{""type"":""Point"",""coordinates"":[-100.772435898,17.2146980800001]}",Gro.,123673,"Restaurante Camino Real, Técpan de Galeana"
109,"{""type"":""Point"",""coordinates"":[-107.477333066,28.5217750250001]}",Chih.,85352,"Restaurante Casa Doña Carolina, Guerrero"
110,"{""type"":""Point"",""coordinates"":[-107.47670132,28.524091431]}",Chih.,85472,"Restaurante Charco del Burro, Guerrero"
111,"{""type"":""Point"",""coordinates"":[-100.750617813,17.2206249500001]}",Gro.,123555,"Restaurante Cuatro Caminos, Técpan de Galeana"
112,"{""type"":""Point"",""coordinates"":[-99.4784476409999,17.3599370040001]}",Gro.,120088,"Restaurante El Mexicano, Chilpancingo de los Bravo"
113,"{""type"":""Point"",""coordinates"":[-100.575799322,18.4952740210001]}",Gro.,119789,"Restaurante El Ranchero, Cutzamala de Pinzón"
114,"{""type"":""Point"",""coordinates"":[-100.319109243,18.291711847]}",Gro.,124479,"Restaurante la Huerta, Tlapehuala"
115,"{""type"":""Point"",""coordinates"":[-99.504363935,18.295938101]}",Gro.,123988,"Restaurante la Palma, Tepecoacuilco de Trujano"
116,"{""type"":""Point"",""coordinates"":[-99.473589529,17.3339833650001]}",Gro.,120106,"Restaurante la Pequeña, Chilpancingo de los Bravo"
117,"{""type"":""Point"",""coordinates"":[-99.478993262,17.3495683240001]}",Gro.,120090,"Restaurante la Pequeña Yeni, Chilpancingo de los Bravo"
118,"{""type"":""Point"",""coordinates"":[-99.504713462,18.305483011]}",Gro.,120747,"Restaurante Las Palmas, Iguala de la Independencia"
119,"{""type"":""Point"",""coordinates"":[-99.480327102,17.355618151]}",Gro.,120085,"Restaurante Lorena, Chilpancingo de los Bravo"
120,"{""type"":""Point"",""coordinates"":[-100.758797288,17.2182267380001]}",Gro.,123562,"Restaurante Los Manguitos, Técpan de Galeana"
121,"{""type"":""Point"",""coordinates"":[-99.471638615,17.3334413330001]}",Gro.,120097,"Restaurante Lucero, Chilpancingo de los Bravo"
122,"{""type"":""Point"",""coordinates"":[-99.390683715,17.5840141210001]}",Gro.,124099,"Restaurante Ojo de Agua, Tixtla de Guerrero"
123,"{""type"":""Point"",""coordinates"":[-99.477287313,17.334750147]}",Gro.,120115,"Restaurante Paola, Chilpancingo de los Bravo"
124,"{""type"":""Point"",""coordinates"":[-99.477994544,17.3355593090001]}",Gro.,120098,"Restaurante Rosy, Chilpancingo de los Bravo"
125,"{""type"":""Point"",""coordinates"":[-100.775023006,17.211753909]}",Gro.,123570,"Restaurante Rubí, Técpan de Galeana"
126,"{""type"":""Point"",""coordinates"":[-99.479720238,17.354964441]}",Gro.,120103,"Restaurante Taco Time, Chilpancingo de los Bravo"
127,"{""type"":""Point"",""coordinates"":[-107.263749622,28.4609447240001]}",Chih.,85246,"Restaurante Tenas, Guerrero"
128,"{""type"":""Point"",""coordinates"":[-100.554363042,18.414907806]}",Gro.,119801,"Restaurante y Balneario El Edén, Cutzamala de Pinzón"
129,"{""type"":""Point"",""coordinates"":[-99.478810043,17.3501735400001]}",Gro.,120092,"Restaurante Yola, Chilpancingo de los Bravo"
130,"{""type"":""Point"",""coordinates"":[-100.091949787,17.0094283820001]}",Gro.,10004,"Restaurante Las Gaviotas, Coyuca de Benítez"
131,"{""type"":""Point"",""coordinates"":[-100.694155913,22.4368271160001]}",S.L.P.,221035,"Restaurante Lolita, Villa Hidalgo"
132,"{""type"":""Point"",""coordinates"":[-100.659517663,22.528843846]}",S.L.P.,221036,"Restaurante Los Compadres, Villa Hidalgo"
133,"{""type"":""Point"",""coordinates"":[-105.674440949,27.2056128130001]}",Chih.,85746,"Restaurante Sapién, Hidalgo del Parral"
134,"{""type"":""Point"",""coordinates"":[-104.456326292,19.618993258]}",Jal.,133977,"Restaurante Crucero de Casimiro Castillo, Casimiro Castillo"
135,"{""type"":""Point"",""coordinates"":[-105.176361523,20.722805803]}",Jal.,141351,"Restaurante Bar Hacienda las Peñas, Puerto Vallarta"
136,"{""type"":""Point"",""coordinates"":[-104.243262496,20.0512447470001]}",Jal.,148196,"Restaurante Campestre la Hacienda, Unión de Tula"
137,"{""type"":""Point"",""coordinates"":[-105.164695026,20.7242548950001]}",Jal.,141425,"Restaurante El Carretero, Puerto Vallarta"
138,"{""type"":""Point"",""coordinates"":[-104.524376844,19.5386950000001]}",Jal.,134066,"Restaurante El Rosarito, Casimiro Castillo"
139,"{""type"":""Point"",""coordinates"":[-103.562556535,20.030021504]}",Jal.,131467,"Restaurante la Dama de Negro, Amacueca"
140,"{""type"":""Point"",""coordinates"":[-103.478307319,19.66223124]}",Jal.,134224,"Restaurante la Fiesta Grill, Zapotlán el Grande"
141,"{""type"":""Point"",""coordinates"":[-105.299664511,20.493038959]}",Jal.,141405,"Restaurante la Montaña, Puerto Vallarta"
142,"{""type"":""Point"",""coordinates"":[-105.070562627,19.531304639]}",Jal.,137062,"Restaurante la Viuda, La Huerta"
143,"{""type"":""Point"",""coordinates"":[-103.545031668,20.1199795530001]}",Jal.,145043,"Restaurante Magali, Techaluta de Montenegro"
