Player,Attempts,Debut year,Last year,Years played,Completions,Yards,TD,Interceptions,Passer Rating
Chad Henne,1959,2008,2018,10,1161,12960,58,63,75.5
Steve Bartkowski,3456,1975,1986,11,1932,24124,156,144,75.4
Scott Mitchell,2346,1991,2001,10,1301,15692,95,81,75.3
Ken Stabler+,3793,1970,1984,14,2270,27938,194,222,75.3
Tim Couch,1714,1999,2003,4,1025,11131,64,67,75.1
Norm Van Brocklin+,2895,1949,1960,11,1553,23611,173,178,75.1
Sid Luckman+,1744,1939,1950,11,904,14686,137,132,75.0
Vinny Testaverde,6701,1987,2007,20,3787,46233,275,267,75.0
Chris Miller,2892,1987,1999,12,1580,19320,123,102,74.9
David Carr,2267,2002,2012,10,1353,14452,65,71,74.9
Don Meredith,2308,1960,1968,8,1170,17199,135,111,74.8
Brian Sipe,3439,1974,1983,9,1944,23713,154,149,74.8
Jake Plummer,4350,1997,2006,9,2484,29253,161,161,74.6
Y.A. Tittle+,4395,1948,1964,16,2427,33070,242,248,74.3
Roman Gabriel,4498,1962,1977,15,2366,29444,201,149,74.3
Steve DeBerg,5024,1978,1998,20,2874,34241,196,204,74.2
Gus Frerotte,3106,1994,2008,14,1699,21291,114,106,74.2
Earl Morrall,2689,1956,1976,20,1379,20809,161,148,74.1
Kerry Collins,6261,1995,2011,16,3487,40922,208,196,73.8
Craig Morton,3786,1965,1982,17,2053,27908,183,187,73.5
Frankie Albert,1564,1946,1952,6,831,10795,115,98,73.5
Rodney Peete,2346,1989,2004,15,1344,16338,76,92,73.3
Mark Sanchez,2320,2009,2018,9,1314,15357,86,89,73.2
Don Majkowski,1905,1987,1996,9,1056,12700,66,67,72.9
Daryle Lamonica,2601,1963,1974,11,1288,19154,164,138,72.9
Greg Landry,2300,1968,1984,16,1276,16052,98,103,72.9
Tommy Kramer,3651,1977,1990,13,2012,24777,159,158,72.8
Ron Jaworski,4117,1974,1989,15,2187,28190,179,164,72.8
Tony Banks,2356,1996,2005,9,1278,15315,77,73,72.4
Bubby Brister,2212,1986,2000,14,1207,14445,81,78,72.3
John Brodie,4491,1957,1973,16,2469,31548,214,224,72.3
Billy Wade,2523,1954,1966,12,1370,18530,124,134,72.2
Sammy Baugh+,2995,1937,1952,15,1693,21886,187,203,72.2
Milt Plum,2419,1957,1969,12,1306,17536,122,127,72.2
Jay Schroeder,2808,1985,1994,9,1426,20063,114,108,71.7
Billy Kilmer,2984,1961,1978,17,1585,20495,152,146,71.6
Bill Munson,1982,1964,1979,15,1070,12896,84,80,71.5
Rex Grossman,1562,2003,2012,9,863,10232,56,60,71.4
Lynn Dickey,3125,1971,1985,14,1747,23322,141,179,70.9
Terry Bradshaw+,3901,1970,1983,13,2025,27989,212,210,70.9
Kordell Stewart,2358,1995,2005,10,1316,14746,77,84,70.7
Derek Anderson,1674,2006,2018,12,909,10878,60,64,70.4
Trent Dilfer,3172,1994,2007,13,1759,20518,113,129,70.2
Bill Nelsen,1905,1963,1972,9,963,14165,98,101,70.2
Vince Ferragamo,1615,1977,1986,9,902,11336,76,91,70.1
Steve Grogan,3593,1975,1990,15,1879,26886,182,208,69.6
Kyle Boller,1519,2003,2011,8,861,8931,48,54,69.5
Doug Williams,2507,1978,1989,11,1240,16998,100,93,69.4
Joey Harrington,2538,2002,2007,5,1424,14693,79,85,69.4
Charley Johnson,3392,1961,1975,14,1737,24410,170,181,69.2
Mike Tomczak,2337,1985,1999,14,1248,16079,88,106,68.9
Eric Hipple,1546,1980,1989,9,830,10711,55,70,68.7
Joe Ferguson,4519,1973,1990,17,2369,29817,196,209,68.4
Charlie Conerly,2833,1948,1961,13,1418,19488,173,167,68.2
Dave Brown,1634,1992,2001,9,892,10248,44,58,67.9
Marc Wilson,2081,1980,1990,10,1085,14391,86,102,67.7
Billy Joe Tolliver,1707,1989,1999,10,891,10760,59,64,67.7
Richard Todd,2967,1976,1985,9,1610,20610,124,161,67.6
Tom Flores,1715,1960,1969,9,838,11959,93,92,67.6
Jim Plunkett,3701,1971,1986,15,1943,25882,164,198,67.5
John Hadl,4687,1962,1977,15,2363,33503,244,268,67.4
Jim Zorn,3149,1976,1987,11,1669,21115,111,141,67.3
Archie Manning,3642,1971,1984,13,2011,23911,125,173,67.1
Jim Hart,5076,1966,1984,18,2593,34665,209,247,66.6
Joe Namath+,3762,1965,1977,12,1886,27663,173,220,65.5
Norm Snead,4353,1961,1976,15,2276,30797,196,257,65.5
Rick Mirer,2043,1993,2003,10,1088,11969,50,76,63.5
Bobby Layne+,3700,1948,1962,14,1814,26768,196,243,63.4
Mike Pagel,1509,1982,1993,11,756,9414,49,63,63.3
