Books Apperences,Porcentaje por cultura
1389,65.21126760563381
137,6.431924882629109
127,5.962441314553991
70,3.286384976525822
57,2.676056338028169
46,2.15962441314554
42,1.971830985915493
34,1.5962441314553992
22,1.0328638497652582
21,0.9859154929577465
20,0.9389671361502347
16,0.7511737089201878
14,0.6572769953051643
14,0.6572769953051643
9,0.42253521126760557
9,0.42253521126760557
9,0.42253521126760557
8,0.3755868544600939
8,0.3755868544600939
8,0.3755868544600939
8,0.3755868544600939
7,0.32863849765258213
7,0.32863849765258213
5,0.2347417840375587
5,0.2347417840375587
5,0.2347417840375587
4,0.18779342723004694
4,0.18779342723004694
4,0.18779342723004694
3,0.14084507042253522
3,0.14084507042253522
3,0.14084507042253522
3,0.14084507042253522
2,0.09389671361502347
2,0.09389671361502347
2,0.09389671361502347
1,0.046948356807511735
1,0.046948356807511735
1,0.046948356807511735
