Summoner,Region,Fecha y Hora,Solo/Duo,Type,Map,Lane,Champion,Season
The Wardman,NA1,2019-06-19 01:36:45.296,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Morgana,SEASON 2019
The Wardman,NA1,2019-06-18 02:59:36.387,DUO,5v5 Ranked Solo games,Summoner's Rift,MID,Sivir,SEASON 2019
The Wardman,NA1,2019-06-18 02:22:47.760,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Morgana,SEASON 2019
The Wardman,NA1,2019-06-18 01:59:07.664,DUO,5v5 Ranked Solo games,Summoner's Rift,NONE,Leona,SEASON 2019
The Wardman,NA1,2019-06-18 01:16:48.909,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Morgana,SEASON 2019
The Wardman,NA1,2019-06-18 00:39:31.512,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Nautilus,SEASON 2019
The Wardman,NA1,2019-06-17 06:51:02.159,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Thresh,SEASON 2019
The Wardman,NA1,2019-06-17 06:16:04.610,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Soraka,SEASON 2019
The Wardman,NA1,2019-06-17 05:41:30.559,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Thresh,SEASON 2019
The Wardman,NA1,2019-06-17 04:59:33.622,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Thresh,SEASON 2019
The Wardman,NA1,2019-06-17 04:18:18.056,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Brand,SEASON 2019
The Wardman,NA1,2019-06-17 03:15:11.707,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Sivir,SEASON 2019
The Wardman,NA1,2019-06-17 02:38:20.676,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Caitlyn,SEASON 2019
The Wardman,NA1,2019-06-17 01:46:29.422,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Caitlyn,SEASON 2019
The Wardman,NA1,2019-06-17 00:54:25.855,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Caitlyn,SEASON 2019
The Wardman,NA1,2019-06-17 00:09:59.393,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Sivir,SEASON 2019
The Wardman,NA1,2019-06-16 23:18:41.456,SOLO,5v5 Ranked Solo games,Summoner's Rift,TOP,Leona,SEASON 2019
The Wardman,NA1,2019-06-16 22:41:55.600,SOLO,5v5 Ranked Solo games,Summoner's Rift,TOP,Leona,SEASON 2019
The Wardman,NA1,2019-06-16 21:32:41.907,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Jinx,SEASON 2019
The Wardman,NA1,2019-06-16 20:48:39.529,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Sivir,SEASON 2019
The Wardman,NA1,2019-06-16 20:16:04.162,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Ashe,SEASON 2019
The Wardman,NA1,2019-06-16 19:35:46.758,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Sivir,SEASON 2019
The Wardman,NA1,2019-06-16 19:08:46.573,DUO,5v5 Ranked Solo games,Summoner's Rift,NONE,Ahri,SEASON 2019
The Wardman,NA1,2019-06-16 18:36:26.529,SOLO,5v5 Ranked Solo games,Summoner's Rift,MID,Ahri,SEASON 2019
The Wardman,NA1,2019-06-16 18:07:09.953,SOLO,5v5 Ranked Solo games,Summoner's Rift,MID,Ahri,SEASON 2019
The Wardman,NA1,2019-06-16 05:24:57.217,SOLO,5v5 Ranked Solo games,Summoner's Rift,MID,Ahri,SEASON 2019
The Wardman,NA1,2019-06-16 04:38:50.701,SOLO,5v5 Ranked Solo games,Summoner's Rift,MID,Ahri,SEASON 2019
The Wardman,NA1,2019-06-16 03:02:05.986,SOLO,5v5 Ranked Solo games,Summoner's Rift,MID,Ahri,SEASON 2019
The Wardman,NA1,2019-06-16 02:19:37.109,SOLO,5v5 Ranked Solo games,Summoner's Rift,MID,Ahri,SEASON 2019
The Wardman,NA1,2019-06-16 01:35:24.900,SOLO,5v5 Ranked Solo games,Summoner's Rift,MID,Ahri,SEASON 2019
The Wardman,NA1,2019-06-16 01:06:40.839,SOLO,5v5 Ranked Solo games,Summoner's Rift,MID,Ahri,SEASON 2019
The Wardman,NA1,2019-06-16 00:25:31.795,SOLO,5v5 Ranked Solo games,Summoner's Rift,MID,Morgana,SEASON 2019
The Wardman,NA1,2019-06-15 23:47:15.097,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Sivir,SEASON 2019
The Wardman,NA1,2019-06-15 23:13:50.520,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Sivir,SEASON 2019
The Wardman,NA1,2019-06-15 22:32:54.820,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Sivir,SEASON 2019
The Wardman,NA1,2019-06-15 22:04:34.946,SOLO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Sivir,SEASON 2019
The Wardman,NA1,2019-06-15 21:17:59.216,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Sivir,SEASON 2019
The Wardman,NA1,2019-06-15 20:21:10.572,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Caitlyn,SEASON 2019
The Wardman,NA1,2019-06-14 08:03:23.656,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Sivir,SEASON 2019
The Wardman,NA1,2019-06-14 07:30:37.144,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Ashe,SEASON 2019
The Wardman,NA1,2019-06-14 06:51:54.892,DUO,5v5 Ranked Solo games,Summoner's Rift,BOTTOM,Sivir,SEASON 2019
